"participant","word","item_number","item_set","item_condition","obstruent_sequence","vowel_type","vowel_length","cons_length","ratio","C1_MoA","C2_MoA","voicing_proportion","n_frames"
19,boat#fishing,26,7,voiceless,df,long,0.15830535307860136,0.14048356814783464,0.8874214637459676,plosive,fricative,0.42857142857142855,42
19,toad#venom,27,7,voiced,df,long,0.1669644378197826,0.10163052736856332,0.6086956521739131,plosive,fricative,0,30
19,code#name,28,7,sonorant,df,long,0.13029854304635763,0.07928218227688422,0.608465608465608,plosive,fricative,1,24
19,paid#for,29,8,assimilation,df,long,0.14566195462707318,0.06536113348650713,0.44871794871794823,plosive,fricative,1,20
19,state#funded,30,8,voiceless,df,long,0.11323814167937751,0.10645980221265422,0.9401408450704226,plosive,fricative,0,31
19,jade#vein,31,8,voiced,df,long,0.1753663434054795,0.09526072975112465,0.5432098765432098,plosive,fricative,0.5862068965517241,29
19,aid#worker,32,8,sonorant,df,long,0.1466162223552303,0.07504527021026008,0.5118483412322277,plosive,fricative,1,22
19,blues#pianist,33,9,assimilation,zp,long,0.12102485933422602,0.08147539009458998,0.6732120205947524,fricative,plosive,0.16,25
19,goose#pimples,34,9,voiceless,zp,long,0.1044969951924005,0.10017893753982199,0.9586776859504135,fricative,plosive,1,30
19,blues#band,35,9,voiced,zp,long,0.13092131360522768,0.06142753576738169,0.4691943127962084,fricative,plosive,1,19
19,blues#melody,36,9,sonorant,zp,long,0.2035085487742874,0.08800369676725944,0.43243243243243257,fricative,plosive,0.9615384615384616,26
19,cheese#plate,37,10,assimilation,zp,long,0.10597297232358727,0.07503676301173262,0.7080745341614909,fricative,plosive,0.13636363636363635,22
19,peace#pipe,38,10,voiceless,zp,long,0.09224922509905886,0.0730897706554082,0.7923076923076926,fricative,plosive,1,22
19,cheese#burger,39,10,voiced,zp,long,0.16487107802212655,0.10046831316973331,0.6093749999999997,fricative,plosive,0.2,30
19,cheese#wire,40,10,sonorant,zp,long,0.1982132103308683,0.08840495296447182,0.44600938967136167,fricative,plosive,1,26
19,maize#plant,41,11,assimilation,zp,long,0.18235053526323808,0.09117526763161898,0.4999999999999997,fricative,plosive,1,28
19,face#paint,42,11,voiceless,zp,long,0.12237605081767808,0.0791365128620985,0.6466666666666667,fricative,plosive,0.20833333333333334,24
19,maize#bread,43,11,voiced,zp,long,0.4228884979480281,0.16191196898765814,0.3828715365239296,fricative,plosive,0.5102040816326531,49
19,phase#meter,44,11,sonorant,zp,long,0.1894362245434282,0.10398839560043505,0.5489361702127659,fricative,plosive,0,31
19,hose#pipe,45,12,assimilation,zp,long,0.14964227649811104,0.08784969466058262,0.5870646766169155,fricative,plosive,0.48148148148148145,27
19,dose#pump,46,12,voiceless,zp,long,0.23739671234851556,0.1890952167624539,0.7965367965367963,fricative,plosive,0.05357142857142857,56
19,nose#bone,47,12,voiced,zp,long,0.16069561410486616,0.07494894254693363,0.466403162055336,fricative,plosive,0.8695652173913043,23
19,nose#muscles,48,12,sonorant,zp,long,0.19443922074411601,0.09817274380707813,0.5049019607843135,fricative,plosive,0.7241379310344828,29
19,blues#fan,49,13,assimilation,zf,long,0.17510661209043693,0.08935481440005838,0.5102880658436215,fricative,fricative,0.1111111111111111,27
19,goose#fat,50,13,voiceless,zf,long,0.13023578609722036,0.10500993563694794,0.8063063063063062,fricative,fricative,0.21875,32
19,blues#violin,51,13,voiced,zf,long,0.18468903325846264,0.1006598996432379,0.5450236966824643,fricative,fricative,1,30
19,blues#music,52,13,sonorant,zf,long,0.1443780656759708,0.093845742689381,0.6499999999999999,fricative,fricative,0.25,28
19,cheese#fingers,53,14,assimilation,zf,long,0.11035799689790773,0.09331742384749547,0.8455882352941173,fricative,fricative,0.10714285714285714,28
19,peace#fighter,54,14,voiceless,zf,long,0.1194735910000708,0.09461666938260638,0.7919463087248321,fricative,fricative,0.07142857142857142,28
19,cheese#vat,55,14,voiced,zf,long,0.14414134742361154,0.07724702044248793,0.5359116022099446,fricative,fricative,1,23
19,cheese#wedge,56,14,sonorant,zf,long,0.13680371418703083,0.07807821736528103,0.5707317073170733,fricative,fricative,1,24
19,maize#field,57,15,assimilation,zf,long,0.18924972057571054,0.09347557048678823,0.493927125506073,fricative,fricative,0.21428571428571427,28
19,space#flight,58,15,voiceless,zf,long,NA,NA,NA,fricative,fricative,NA,NA
19,blaze#victim,59,15,voiced,zf,long,0.18531701720309696,0.10108200938350742,0.5454545454545454,fricative,fricative,1,30
19,maze#map,60,15,sonorant,zf,long,0.19205327875710362,0.0931167412155654,0.4848484848484849,fricative,fricative,0.25,28
19,nose#fracture,61,16,assimilation,zf,long,NA,NA,NA,fricative,fricative,NA,NA
19,dose#feeder,62,16,voiceless,zf,long,0.17094443249087715,0.12899973377783785,0.7546296296296297,fricative,fricative,0.15384615384615385,39
19,nose#vein,63,16,voiced,zf,long,0.20772310217811502,0.09267646097177434,0.4461538461538459,fricative,fricative,1,27
19,nose#wipes,64,16,sonorant,zf,long,0.1651664305043367,0.08440222880397821,0.5110132158590308,fricative,fricative,0.32,25
19,bed#post,65,17,assimilation,dp,short,0.0736299341352435,0.10978749107665772,1.4910714285714286,plosive,plosive,0.8181818181818182,33
19,jet#pack,66,17,voiceless,dp,short,0.08266641129110111,0.0840327982545904,1.0165289256198349,plosive,plosive,0.44,25
